blank.id,complete_blank,conjoins_nr,raw_material,blank_type,blank_size,tool
1,Yes,2,Maiolica,Blade,L,Yes
2,No,2,Maiolica,Blade,M,Yes
3,Yes,2,Maiolica,Semi-cortical blade,L,Yes
4,Yes,2,Scaglia Variegata,Blade,M,Yes
5,Yes,2,Scaglia Variegata,Blade,S,No
6,Yes,2,Scaglia Variegata,Blade,M,No
7,Yes,2,Scaglia Variegata,Blade,M,No
8,Yes,2,Maiolica,Blade,S,Yes
9,No,2,Maiolica,Blade,L,No
10,No,2,Scaglia Rossa,Semi-cortical blade,L,No
11,No,2,Scaglia Rossa,Semi-cortical blade,M,No
12,Yes,2,Scaglia Rossa,Blade,S,No
13,Yes,3,Maiolica,Semi-cortical blade,S,Yes
14,Yes,2,Scaglia Rossa,Blade,S,No
15,Yes,2,Oolitic,Blade,L,No
16,Yes,2,Scaglia Rossa,Blade,L,No
17,Yes,2,Maiolica,Blade,M,No
18,Yes,2,Scaglia Variegata,Cortical blade,L,No
19,Yes,2,Scaglia Variegata,Blade,S,No
20,No,2,Maiolica,Semi-cortical blade,S,No
21,Yes,2,Maiolica,Semi-cortical blade,M,No
22,No,2,Maiolica,Semi-cortical blade,L,Yes
23,No,2,Maiolica,Cortical blade,L,No
24,Yes,2,Maiolica,Semi-cortical blade,M,No
25,Yes,2,Maiolica,Semi-cortical blade,S,No
26,Yes,2,Scaglia Rossa,Semi-cortical blade,M,No
27,Yes,2,Maiolica,Cortical blade,S,No
28,Yes,2,Scaglia Variegata,Blade,S,No
29,Yes,2,Maiolica,Semi-cortical blade,S,No
30,Yes,2,Maiolica,Semi-cortical blade,M,No
31,No,2,Maiolica,Semi-cortical blade,S,No
32,No,2,Scaglia Variegata,Semi-cortical blade,S,No
33,No,2,Maiolica,Blade,M,No
34,Yes,2,Scaglia Rossa,Blade,L,No
35,No,2,Scaglia Rossa,Blade,S,No
36,No,2,Scaglia Rossa,Blade,L,No
37,No,2,Scaglia Variegata,Blade,S,No
38,No,2,Maiolica,Blade,S,No
39,No,2,Maiolica,Blade,S,No
40,No,2,Maiolica,Blade,M,No
41,No,2,Maiolica,Blade,M,No
42,Yes,2,Eocenic,Semi-cortical blade,M,No
43,No,2,Maiolica,Blade,M,No
44,Yes,2,Maiolica,Blade,S,No
45,No,2,Maiolica,Blade,S,No
46,Yes,2,Maiolica,Blade,M,Yes
47,Yes,2,Maiolica,Blade,S,No
48,Yes,2,Maiolica,Blade,S,No
49,Yes,2,Maiolica,Blade,M,No
50,Yes,2,Maiolica,Semi-cortical blade,M,No
51,Yes,2,Maiolica,Semi-cortical blade,M,No
52,Yes,2,Maiolica,Semi-cortical blade,M,No
53,Yes,2,Maiolica,Semi-cortical blade,M,No
54,Yes,2,Scaglia Variegata,Semi-cortical blade,L,No
55,No,2,Scaglia Variegata,Semi-cortical blade,S,No
56,Yes,2,Maiolica,Semi-cortical blade,M,No
57,Yes,2,Maiolica,Semi-cortical blade,M,Yes
58,Yes,2,Maiolica,Semi-cortical blade,S,Yes
59,No,2,Maiolica,Semi-cortical blade,S,No
60,Yes,2,Other/Undetermined,Semi-cortical blade,M,No
61,No,2,Maiolica,Semi-cortical blade,S,No
62,Yes,2,Maiolica,Semi-cortical blade,M,No
63,Yes,2,Scaglia Rossa,Semi-cortical blade,M,No
64,Yes,2,Scaglia Variegata,Semi-cortical blade,M,No
65,Yes,2,Scaglia Rossa,Semi-cortical blade,L,Yes
66,Yes,2,Scaglia Variegata,Blade,S,No
67,Yes,3,Scaglia Variegata,Semi-cortical blade,L,No
68,Yes,2,Scaglia Rossa,Blade,M,Yes
69,No,2,Maiolica,Semi-cortical blade,M,Yes
70,No,2,Maiolica,Blade,M,No
71,Yes,2,Scaglia Rossa,Blade,L,No
72,Yes,2,Oolitic,Blade,M,No
73,Yes,2,Oolitic,Blade,L,No
74,No,2,Oolitic,Blade,L,No
75,Yes,2,Oolitic,Semi-cortical blade,S,No
76,Yes,2,Oolitic,Blade,S,No
77,No,2,Oolitic,Semi-cortical blade,M,No
78,Yes,2,Eocenic,Blade,M,No
79,No,2,Eocenic,Semi-cortical blade,S,No
80,Yes,2,Eocenic,Blade,M,No
81,No,2,Maiolica,Blade,S,No
82,No,2,Maiolica,Semi-cortical blade,S,No
83,Yes,2,Maiolica,Semi-cortical blade,L,No
84,Yes,2,Maiolica,Blade,S,No
85,Yes,2,Maiolica,Blade,M,No
86,No,2,Maiolica,Blade,S,No
87,No,2,Other/Undetermined,Blade,S,Yes
88,No,2,Maiolica,Blade,M,Yes
89,No,3,Maiolica,Blade,M,No
90,No,2,Scaglia Variegata,Blade,M,No
91,Yes,2,Scaglia Variegata,Blade,M,Yes
92,No,2,Scaglia Variegata,Semi-cortical blade,S,No
93,Yes,2,Scaglia Rossa,Blade,M,No
94,Yes,2,Scaglia Variegata,Blade,S,No
95,No,2,Scaglia Variegata,Blade,M,No
96,No,2,Maiolica,Semi-cortical blade,S,No
97,Yes,3,Maiolica,Semi-cortical blade,M,Yes
98,Yes,3,Maiolica,Semi-cortical blade,M,No
99,Yes,2,Maiolica,Semi-cortical blade,M,No
100,Yes,2,Maiolica,Semi-cortical blade,M,No
101,Yes,2,Scaglia Variegata,Blade,S,No
102,Yes,2,Scaglia Rossa,Semi-cortical blade,S,No
103,Yes,2,Scaglia Rossa,Blade,S,No
104,No,2,Scaglia Variegata,Blade,M,No
105,No,2,Maiolica,Semi-cortical blade,L,Yes
106,Yes,2,Maiolica,Cortical blade,M,Yes
107,Yes,2,Scaglia Rossa,Blade,M,Yes
108,Yes,2,Maiolica,Semi-cortical blade,L,Yes
109,Yes,2,Scaglia Variegata,Blade,M,Yes
110,Yes,2,Scaglia Variegata,Blade,M,Yes
111,No,2,Scaglia Variegata,Blade,M,Yes
