id,us,square,sub_square,preservation,length,width,thickness,thermal_alteration,edge_wear,patina
5.1,A2R,127,f,proximal,38.5,12.8,4.5,no,0,no
9.1,A2R,147,h,proximal,36.1,23.8,4.9,no,1,no
74.1,A2,117,i,mesial,31.7,27.6,9.5,no,0,no
91.1,A2,128,d,proximal,65.8,19,4.1,no,0,no
108.1,D3b alpha,39,g,proximal,38.8,32.3,10.2,no,0,gley1 6/N
111.1,A2R,125,c,mesial,20.8,20.2,5.6,no,1,no
125.1,A2,56,e,proximal,43.9,12.1,3.5,no,0,2.5Y 5/4
148.1,A2,127,g,proximal,36.7,16.7,6,no,0,10YR 6/6
159.1,A2,130,c,proximal,28.1,23.3,5.5,no,1,10YR 8/2
195.1,A2R,126,g,proximal,38.6,21.1,7.2,no,1,no
217.1,A2R,135,d,proximal,46.7,18,4.9,no,1,gley1 8/N-10Y
218.1,A2,118,g,proximal,29.9,16.3,6.8,no,0,gley1 7/10Y
5.2,A2R,127,f,distal,40.3,12.9,4.4,no,0,no
9.2,A2R,147,h,mesial,27.9,20.2,6.5,no,0,no
21.2,A2,56,e,distal,47.2,21.5,7,no,1,no
28.2,D3d,57,f,distal,24.2,12.2,2.9,no,1,no
80.2,A2,97,c,distal,30.9,18,5.1,no,0,10YR 8/2
96.2,A2R,137,c,distal,30.6,12.8,4.7,no,2,no
97.2,A2,136,h,mesial,21.5,16.3,5.2,no,1,gley1 6/N
100.2,A2,129,i,distal,41,19.3,5,no,1,gley1 8/N
106.2,A2,118,g,distal,32.3,22.9,8.8,no,0,no
135.2,A2R,125,a,distal,43.7,24.1,4.9,no,1,no
160.2,A2,128,e,distal,23.2,13,3.5,no,1,gley1 8/N
186.2,A2,117,b,distal,39.3,20.9,4.8,no,0,no
189.2,A2,127,g,mesial,34.3,19,4.4,no,1,5Y 8/1
195.2,A2R,116,a,distal,54.5,20.1,6.1,no,0,no
210.2,D3d,57,a,mesial,33,17.8,5.8,no,0,2.5Y 7/1
