"id","us","square"
5.1,"A2R",127
9.1,"A2R",147
74.1,"A2",117
91.1,"A2",128
108.1,"D3b alpha",39
111.1,"A2R",125
125.1,"A2",56
148.1,"A2",127
159.1,"A2",130
195.1,"A2R",126
217.1,"A2R",135
218.1,"A2",118
5.2,"A2R",127
9.2,"A2R",147
21.2,"A2",56
28.2,"D3d",57
80.2,"A2",97
96.2,"A2R",137
97.2,"A2",136
100.2,"A2",129
106.2,"A2",118
135.2,"A2R",125
160.2,"A2",128
186.2,"A2",117
189.2,"A2",127
195.2,"A2R",116
210.2,"D3d",57
220.2,"A2R",125
227.2,"D3d base",47
228.2,"A2R",146
229.2,"A2",128
97.3,"D3a+b sabbie",136
7.1,"A2",97
13.1,"D3b alpha",86
14.1,"A2",107
26.1,"D3d base",76
39.1,"A1",67
43.1,"A1",67
45.1,"A1",67
48.1,"A1",56
50.1,"D3b alpha",136
53.1,"A2R",125
54.1,"A2",96
56.1,"D3d base",68
58.1,"D3d",78
59.1,"D3d base",68
60.1,"D3b alpha",77
61.1,"A2",90
63.1,"A2",126
69.1,"A2",96
80.1,"A2R",137
81.1,"A2",76
82.1,"A2R",117
86.1,"A2",56
92.1,"A2R",137
96.1,"D3a+b",136
100.1,"D3a+b",126
101.1,"A2",125
106.1,"A2",107
109.1,"A2",125
136.1,"A2R",135
137.1,"A2",125
139.1,"D3a+b",136
141.1,"A2",90
142.1,"A2",118
143.1,"A2",98
153.1,"D3d",46
155.1,"D3b alpha",68
156.1,"D3b alpha",69
160.1,"A2R",135
161.1,"A2",125
168.1,"D3+D6",135
172.1,"A1",56
174.1,"A2",98
178.1,"A1",67
179.1,"D3d base",67
184.1,"A1",57
190.1,"A2",90
200.1,"D3d",56
201.1,"A2R",135
202.1,"A2",125
205.1,"A1",57
207.1,"D3d",76
213.1,"A2",125
215.1,"A2",136
221.1,"D3a+b",147
222.1,"D3d",87
246.1,"D3b alpha",68
247.1,"A2",125
2.2,"D3b",36
7.2,"A2",96
22.2,"A2",76
30.2,"D3d base",68
32.2,"A1",57
33.2,"A2",56
37.2,"A1",56
43.2,"D3d base",76
47.2,"A1",67
52.2,"A2",56
53.2,"A2",135
62.2,"A2",56
72.2,"A2R",127
81.2,"A2",76
82.2,"A1",57
90.2,"A2",116
102.2,"A1",57
110.2,"A2",118
112.2,"D3d base",68
114.2,"A2",90
118.2,"D3d",76
125.2,"A2",98
127.2,"A2",96
130.2,"A1",56
131.2,"D3d base",57
145.2,"A2",90
150.2,"A2",125
153.2,"A1",57
154.2,"D3b alpha",67
155.2,"D3b alpha",68
156.2,"D3b alpha",69
161.2,"A2R",125
168.2,"D3+D6",135
172.2,"A2",56
197.2,"A2",125
199.2,"A2",106
200.2,"A2",56
201.2,"A2",126
202.2,"A1",66
203.2,"A2",90
204.2,"A2",56
214.2,"A2",108
221.2,"A2",136
245.2,"A2",125
246.2,"D3b alpha",77
247.2,"A2",125
153.3,"A2",56
246.3,"D3b alpha",68
137.4,"A2",125
246.4,"D3b alpha",68
1.1,"A1",62
2.1,"D3b",20
3.1,"A2",88
4.1,"A2",78
6.1,"A2",69
8.1,"A1",58
10.1,"A2",67
11.1,"A2",66
12.1,"D3d base",78
15.1,"A2",66
16.1,"A2",51
17.1,"A2",55
