blank.ID,frag.ID,US.a,blank.ID,frag.ID,US.b
1,1.1,A1,1,1.2,A1
2,2.1,D3b,2,2.2,D3b
3,3.1,A2,3,3.2,A2
4,4.1,A2,4,4.2,A2
5,5.1,A2R,5,5.2,A2R
6,6.1,A2,6,6.2,A2
7,7.1,A2,7,7.2,A2
8,8.1,A1,8,8.2,A1
9,9.1,A2R,9,9.2,A2R
10,10.1,A2,10,10.2,A2
11,11.1,A2,11,11.2,A2
12,12.1,D3d base,12,12.2,A2
13,13.1,D3b alpha,13,13.2,A2
14,14.1,A2,14,14.2,A2
15,15.1,A2,15,15.2,A2
16,16.1,A2,16,16.2,A1
17,17.1,A2,17,17.2,A2
18,18.1,A1,18,18.2,A1
19,19.1,A1,19,19.2,A2
20,20.1,A1,20,20.2,A1
21,21.1,A2,21,21.2,A2
22,22.1,A2,22,22.2,A2
23,23.1,A1,23,23.2,A1
24,24.1,A1,24,24.2,A1
25,25.1,A1,25,25.2,A1
26,26.1,D3d base,26,26.2,D3d base
27,27.1,A2,27,27.2,D3d base
28,28.1,A2,28,28.2,D3d
29,29.1,A2,29,29.2,A2
30,30.1,D3d base,30,30.2,D3d base
31,31.1,D3b,31,31.2,A2
32,32.1,A2,32,32.2,A1
33,33.1,A2,33,33.2,A2
34,34.1,A1,34,34.2,A1
35,35.1,A2,35,35.2,A2
36,36.1,A2,36,36.2,A2
37,37.1,A2,37,37.2,A1
38,38.1,A2,38,38.2,A2
39,39.1,A1,39,39.2,D3d base
40,40.1,A2,40,40.2,A2
41,41.1,A2,41,41.2,A2
42,42.1,A2,42,42.2,A2
43,43.1,A1,43,43.2,D3d base
44,44.1,A2,44,44.2,A2
45,45.1,A1,45,45.2,A2
46,46.1,A2,46,46.2,A2
47,47.1,A1,47,47.2,A1
48,48.1,A1,48,48.2,A2
49,49.1,D3+D6,49,49.2,D6
50,50.1,D3b alpha,50,50.2,A2
51,51.1,A1,51,51.2,A1
52,52.1,A2,52,52.2,A2
53,53.1,A2R,53,53.2,A2
54,54.1,A2,54,54.2,A2
55,55.1,A2,55,55.2,A2
56,56.1,D3d base,56,56.2,A2
57,57.1,A2,57,57.2,D3b
58,58.1,D3d,58,58.2,D3d base
59,59.1,D3d base,59,59.2,A1
60,60.1,D3b alpha,60,60.2,A2
61,61.1,A2,61,61.2,A2
62,62.1,A2,62,62.2,A2
63,63.1,A2,63,63.2,D6
64,64.1,D3+D6,64,64.2,D3+D6
65,65.1,A1,65,65.2,D6
66,66.1,A2,66,66.2,A1
67,67.1,A2,67,67.2,D3d base
68,68.1,A2,68,68.2,A2
69,69.1,A2,69,69.2,D3+D6
70,70.1,A2,70,70.2,A2
71,71.1,D3+D6,71,71.2,D6
72,72.1,A2,72,72.2,A2R
73,73.1,A2,73,73.2,D3+D6
74,74.1,A2,74,74.2,D6
75,75.1,A1,75,75.2,A1
76,76.1,A1,76,76.2,A2
77,77.1,A2,77,77.2,A1
78,78.1,A2,78,78.2,A2R
79,79.1,D6,79,79.2,A2
80,80.1,A2R,80,80.2,A2
81,81.1,A2,81,81.2,A2
82,82.1,A2R,82,82.2,A1
