ID,unit,square,sub.square,raw.material,termal.alteration,class,blank,technology,technology.extended,cortex,cortex.y.n,preservation,preservation.extended,length,width,thickness,elongation,robustness,platform.width,platform.thickness,platformW.T.,platform.type,platform.shape,platform.angle,dorsal.thinning,bulb,bulb.type,bulbar.scar,lip,lip.type,curvature,torsion,cross.section,cross.section.symmetry,scar.count,axiality,scar.pattern,distal.end,distal.end.profile,blank.shape,bladelet.neg.blade,blade.neg.flake,typology,retouch.position,dorsal.retouch.localization,ventral.retouch.localization,retouch.length,volume,surface,mesh
RF.b_15,A1,62,b,Maiolica,FALSE,Tool,Blade,Semi-cortical,Semi-cortical,33-66%,yes,Complete,Complete,72.69999695,21.79999924,7.599999905,3.334862362,2.868420988,3.599999905,0.800000012,4.499999814,Linear,Linear,75,No,FALSE,NA,FALSE,TRUE,Pronounced,Straight,0,Lateral steep,FALSE,1,Axial,Unidirectional parallel,Convex,Feathered,Sub-parallel,TRUE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,3.200000048,4585.722168,2844.249332,Yes
RF.b_17,A2,78,c,Other,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,22.79999924,21.39999962,5,1.065420544,4.279999924,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Mesial left,NA,3.099999905,,,
RF.b_25,A2,55,b,Scaglia.Variegata,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Almost-complete,50,19.79999924,5.5,2.525252623,3.599999861,3,2,1.5,Plain,Oval,60,Abrasion,FALSE,NA,TRUE,TRUE,Pronounced,Curved slightly,0,Trapezoidal,FALSE,2,Axial,Unidirectional parallel,Irregular,Undetermined,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,7,2372.125977,1837.712121,Yes
RF.b_31,A2,65,g,Scaglia.Variegata,FALSE,Blank,Blade,Maintenance,Maintenance,0%,no,Complete,Complete,38.20000076,15.80000019,3.799999952,2.417721538,4.157894839,5.099999905,0.200000003,25.49999914,Linear,Linear,75,Hinged scars,FALSE,NA,FALSE,TRUE,Moderate,Curved,0,Trapezoidal,TRUE,2,Off-axis right,Unidirectional convergent,Straight,Plunging,Sub-parallel,TRUE,FALSE,NA,NA,NA,NA,NA,1236.834839,1170.09981,Yes
RF.b_33,A1,70,a,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,34,20.79999924,9.399999619,1.634615445,2.212765966,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Polyhedral,TRUE,3,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade Aurignacian,Direct,Continuous left,NA,8.899999619,,,
RF.b_35,A2,62,d,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,21.39999962,13.10000038,3.5,1.63358771,3.742857252,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,NA,,,
RF.b_36,A1,pre.80,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,26.20000076,16.20000076,4.300000191,1.617283922,3.767441871,6.199999809,2.900000095,2.137930898,Plain,Oval,80,Hinged scars,FALSE,NA,TRUE,TRUE,Moderate,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,3.599999905,,,
RF.b_37,A2,41,NA,Maiolica,FALSE,Tool,Blade,Semi-cortical,Semi-cortical,1-33%,yes,Distal,Mesio-distal,58.90000153,18.70000076,7.099999905,3.149732573,2.63380296,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Curved,0,Lateral steep,FALSE,1,Axial,Unidirectional parallel,Undetermined,Undetermined,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Distal left;Mesial right,NA,5,,,
RF.b_38,A1,68,NA,Other,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,34,24.79999924,5.800000191,1.370967784,4.275861797,17.10000038,6.699999809,2.552238936,Faceted,Oval,75,Abrasion,TRUE,Pronounced,FALSE,FALSE,NA,Curved slightly,0,Polyhedral,TRUE,3,NA,Unidirectional parallel,NA,NA,NA,TRUE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,4.300000191,,,
RF.b_40,A1,40,NA,Maiolica,FALSE,Tool,Blade,Semi-cortical,Semi-cortical,33-66%,yes,Complete,Complete,42.40000153,15.19999981,4.800000191,2.78947382,3.166666501,6.699999809,1.200000048,5.583332953,Cortical,Winged,90,No,TRUE,Pronounced,FALSE,TRUE,Moderate,Straight,1L,Lateral steep,FALSE,1,Off-axis left,Unidirectional convergent,Pointed,Pointed,Convergent,FALSE,FALSE,Blade pointed,Direct,Apex;Distal right,NA,0.699999988,1221.238647,1117.799814,Yes
RF.b_41,A2,81,NA,Maiolica,FALSE,Tool,Blade,Semi-cortical,Semi-cortical,1-33%,yes,Proximal,Mesio-proximal,41.20000076,20.60000038,5.900000095,2,3.491525432,3.299999952,1.200000048,2.749999851,Plain,Oval,75,Hinged scars,FALSE,NA,FALSE,TRUE,Moderate,Curved slightly,0,Trapezoidal,FALSE,2,Axial,Unidirectional parallel,NA,NA,NA,TRUE,FALSE,Blade with lateral retouch,Direct,Distal left;Mesial left,NA,1.700000048,,,
RF.b_42,A1,61,NA,Other,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,29.60000038,18.20000076,5.900000095,1.626373579,3.084745842,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,4.099999905,,,
RF.b_44,A1,62,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,32.90000153,19,5.300000191,1.731579028,3.584905531,5.199999809,0.899999976,5.777777719,Linear,Linear,80,Abrasion;Hinged scars,FALSE,NA,TRUE,TRUE,Pronounced,Straight,0,Trapezoidal,FALSE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,3.5,,,
RF.b_45,A1,55,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,37.29999924,15.30000019,3.200000048,2.437908416,4.781249988,0.600000024,0.200000003,3.000000075,Punctiform,Punctiform,75,NA,FALSE,NA,FALSE,TRUE,Moderate,Straight,2R,Trapezoidal,FALSE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Mesial left,NA,NA,,,
RF.b_48,A2,77,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,17.79999924,16.20000076,4.599999905,1.098765333,3.521739369,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,4,,,
RF.b_49,A1,62,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Proximal,14.5,13.5,3.099999905,1.074074074,4.354838844,5.199999809,1.5,3.46666654,Plain,Oval,90,Abrasion,FALSE,NA,FALSE,TRUE,Pronounced,Curved slightly,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,1.5,,,
