SU,class,blank,technology,preservation,cortex.y.n,RAW
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Angular debris,Other,Undetermined,NA,NA,Angular debris
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
A1east,Chip,Chip,Undetermined,Undetermined,NA,Chip
